"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
rescheduled_meeting_took_place,rescheduled_meetings,"
<SPAN style=""color:Red"">MEETING RESULTS</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",radio,"Meeting took place?","yes, Yes | no_show, No show | rescheduled, Rescheduled (go to top of this form to add new meeting appointment) | canceled_withdrawn, Canceled and withdrawn (specify withdrawing information on Form 10) | canceled_portal, Canceled due to portal issue | canceled_consent, Canceled due to refusal to provide study consent and/or EHR consent; referred to the direct volunteer program | canceled_other, Canceled due to other reasons (specify in notes)",,,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
rescheduled_meeting_rescheduled_or_canceled_same_day,rescheduled_meetings,,radio,"Meeting rescheduled or canceled on the same day of the appointment?","yes, Yes | no, No, rescheduled or canceled ahead of time",,,,,,"[rescheduled_meeting_took_place] = 'rescheduled' OR [rescheduled_meeting_took_place] = 'canceled_portal' OR [rescheduled_meeting_took_place] = 'canceled_consent' OR [rescheduled_meeting_took_place] = 'canceled_other'",,LV,,,,
rescheduled_meeting_ehr_consent,rescheduled_meetings,,radio,"EHR consent provided in Patient Portal?","yes, Yes | declined, No, declined to provide | will_provide, Not yet, but will provide it | other, Other (specify in notes)",,,,,,"[rescheduled_meeting_took_place] = 'yes'",,LV,,,,
rescheduled_meeting_pmb_collected,rescheduled_meetings,,checkbox,"Data or biospecimens collected","physical, Physical Measurements | blood, Blood | saliva, Saliva | urine, Urine",,,,,,"[rescheduled_meeting_took_place] = 'yes'",,LV,,,,
rescheduled_meeting_notes,rescheduled_meetings,,notes,"Meeting notes",,,,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
all_study_requirements_completed,gift_card,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",checkbox,"All study requirements completed?","yes, Yes",,,,,,,,LV,,,,
pmi_id,gift_card,,text,"Participant ID in HealthPro (also known as PMI ID)",,,,,,y,"[all_study_requirements_completed(yes)] = 1",,LV,,,,
willingness_for_future_participation,gift_card,,radio,"If there are further study activities of All of Us, is participant willing to continue to be involved?","unlikely, Unlikely | somewhat_likely, Somewhat likely | very_likely, Very likely | unsure, Unsure | unknown, Unknown / declined to disclose | other, Other (please specify)",,,,,,"[all_study_requirements_completed(yes)] = 1",,LV,,,,
willingness_for_future_participation_notes,gift_card,,notes,"Notes about willingness to participate in the future",,,,,,,"[all_study_requirements_completed(yes)] = 1",,LV,,,,
gift_card_dispensed,gift_card,"
<SPAN style=""color:Red"">GIFT CARD INFORMATION</SPAN>

",radio,"Gift card dispensed?","in_person, Yes, in person | by_mail, Yes, by mail | not_dispensed, No",,,,,,"[willingness_for_future_participation] <> ''",,LV,,,,
gift_card_not_dispensed_in_person_reasons,gift_card,,notes,"Reason(s) why gift card was not dispensed in person",,,,,,,"[gift_card_dispensed] = 'by_mail' OR [gift_card_dispensed] = 'not_dispensed'",,LV,,,,
gift_card_mailing_address_current,gift_card,,radio,"Is the address on file ""[street_address_line_1] [street_address_line_2], [city], [state] [zip_code]"" current?","yes, Yes | no, No",,,,,,"[gift_card_dispensed] = 'by_mail'",,LV,,,,
gift_card_new_mailing_address,gift_card,,notes,"Specify new mailing address",,,,,,y,"[gift_card_mailing_address_current] = 'no'",,LV,,,,
gift_card_mailed_date,gift_card,,text,"Gift card mailed date",,,date_mdy,,,,"[gift_card_dispensed] = 'by_mail'",,LV,,,,
gift_card_number,gift_card,,text,"Gift card #",,,,,,,"[gift_card_dispensed] = 'in_person' OR [gift_card_dispensed] = 'by_mail'",,LV,,,,
gift_card_amount,gift_card,,radio,"Gift card amount (for reconciliation purpose)","25, $25",,,,,,"[gift_card_dispensed] = 'in_person' OR [gift_card_dispensed] = 'by_mail'",,LV,,,,
gift_card_notes,gift_card,,notes,"Notes about gift card dispensing",,,,,,,"[gift_card_dispensed] <> ''",,LV,,,,
gift_card_participant_signature,gift_card,"
<SPAN style=""color:Red"">GIFT CARD SIGNATURES</SPAN>

",file,"Participant signature",,,signature,,,,"[gift_card_dispensed] = 'in_person'",,,,,,
gift_card_participant_signature_date,gift_card,,text,"Participant signature date",,,date_mdy,,,,"[gift_card_dispensed] = 'in_person'",,LV,,,,
gift_card_crc,gift_card,,radio,"CRC who dispensed the gift card","Andrea, Andrea Alvarez | Jennifer, Jennifer Encizo | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Byron, Byron Villagran",,,,,,"[gift_card_dispensed] = 'in_person' OR [gift_card_dispensed] = 'by_mail'",,LV,,,,
gift_card_crc_signature,gift_card,,file,"CRC signature",,,signature,,,,"[gift_card_dispensed] = 'in_person' OR [gift_card_dispensed] = 'by_mail'",,,,,,
gift_card_crc_signature_date,gift_card,,text,"CRC signature date",,,date_mdy,,,,"[gift_card_dispensed] = 'in_person' OR [gift_card_dispensed] = 'by_mail'",,LV,,,,
participant_feedback_survey_dummy,gift_card,"
<SPAN style=""color:Red"">PARTICIPANT FEEDBACK SURVEY</SPAN>

",radio,"
<A href=""https://www.surveymonkey.com/r/GavinHerbertUCI"" target=""_blank"" style=""font-weight:normal;color:DeepSkyBlue"">Gavin Herbert Eye Institute</A>

<A href=""https://www.surveymonkey.com/r/UCIGottschalk"" target=""_blank"" style=""font-weight:normal;color:DeepSkyBlue"">Gottschalk Medical Plaza</A>",,,,,,,"[gift_card_dispensed] <> ''",,LV,,,,
withdrawn,withdraw,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",checkbox,"Participant decided to withdraw?","yes, Yes",,,,,,,,LV,,,,
withdrawn_date,withdraw,,text,"Withdrawn date",,,date_mdy,,,,"[withdrawn(yes)] = 1",,LV,,,,
withdrawn_recorded_in_healthpro,withdraw,,radio,"Has participant withdrawn through Patient Portal?","yes, Yes | pending, Not yet, but has instructed participant to do so | not_applicable, Not applicable, participant has not enrolled in Participant Portal | other, Other (specify in notes)",,,,,,"[withdrawn(yes)] = 1",,LV,,,,
withdrawn_reasons,withdraw,,checkbox,"Reason(s) for withdrawing","portal, Participant portal issue | privacy, Privacy concerns | time, Time commitment | medical, Medical reasons | blood_draw, Doesn't want to have a blood draw | language, Language barrier | moved, Moved to another state | interest, No longer interested | unknown, Unknown / declined to disclose | other, Other reasons (specify in notes below)",,,,,,"[withdrawn(yes)] = 1",,LV,,,,
withdrawn_notes,withdraw,,notes,Notes,,,,,,,"[withdrawn(yes)] = 1",,LV,,,,
thank_you_note_sent,admin,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">THIS FORM IS AUTOMATICALLY UPDATED BY THE SYSTEM. DO NOT MODIFY.</SPAN>

",checkbox,"Thank-you note sent?","yes, Yes",,,,,,,,LV,,,,
